server_id,app_id,max_threads,log_level,retry_policy,feature_flag_x_enabled
srv1737,app010,128,WARN,exponential,True
srv1648,app012,64,WARN,fixed,False
srv1480,app004,128,INFO,none,True
srv1070,app013,64,INFO,fixed,False
srv1727,app005,256,INFO,exponential,True
srv1302,app012,128,WARN,exponential,True
srv0371,app014,128,DEBUG,fixed,False
srv1475,app004,128,DEBUG,none,True
srv1776,app019,256,INFO,exponential,True
srv1307,app006,256,WARN,exponential,False
srv1551,app007,128,INFO,exponential,True
srv0975,app011,256,INFO,exponential,False
srv0186,app014,256,INFO,none,True
srv0913,app012,64,WARN,none,True
srv1245,app019,256,DEBUG,fixed,True
srv0581,app008,128,ERROR,fixed,True
srv0488,app020,64,ERROR,exponential,True
srv0596,app010,64,DEBUG,none,False
srv1827,app008,128,DEBUG,fixed,True
srv0873,app011,128,WARN,fixed,False
srv0635,app015,128,INFO,fixed,True
srv1514,app018,128,WARN,exponential,False
srv0591,app001,64,DEBUG,fixed,True
srv1075,app016,128,DEBUG,none,False
srv0286,app003,128,WARN,fixed,False
srv1828,app007,64,DEBUG,exponential,False
srv1485,app014,256,WARN,exponential,True
srv1854,app014,128,WARN,none,True
srv0957,app013,128,ERROR,exponential,False
srv1645,app013,128,DEBUG,none,False
srv0650,app006,128,INFO,fixed,True
srv0210,app010,128,DEBUG,exponential,False
srv1332,app013,128,DEBUG,fixed,False
srv0173,app011,128,ERROR,fixed,True
srv1992,app008,128,DEBUG,none,True
srv0649,app004,64,WARN,exponential,False
srv1275,app008,64,INFO,none,False
srv0606,app012,64,WARN,none,True
srv0886,app009,128,ERROR,none,False
srv0853,app017,128,ERROR,none,False
srv0809,app020,64,ERROR,none,True
srv1328,app002,64,DEBUG,exponential,False
srv1292,app016,128,INFO,none,True
srv0597,app002,256,WARN,fixed,False
srv1362,app002,256,ERROR,none,True
srv1690,app019,64,INFO,fixed,True
srv1589,app016,128,ERROR,fixed,False
srv1416,app011,256,DEBUG,fixed,False
srv1078,app018,256,INFO,exponential,False
srv1195,app004,128,INFO,fixed,True
srv0236,app004,128,ERROR,none,False
srv1665,app019,128,WARN,exponential,False
srv0265,app010,128,INFO,exponential,True
srv0781,app002,128,ERROR,fixed,False
srv1504,app004,64,WARN,fixed,False
srv1294,app014,128,INFO,none,False
srv0140,app020,64,ERROR,exponential,True
srv1985,app016,64,INFO,none,False
srv0100,app002,128,DEBUG,exponential,True
srv0787,app017,256,ERROR,none,True
srv1756,app016,64,DEBUG,none,True
srv1484,app005,64,INFO,exponential,True
srv1316,app009,256,ERROR,exponential,True
srv1708,app020,256,INFO,fixed,False
srv1978,app018,128,INFO,exponential,False
srv0118,app010,64,DEBUG,exponential,False
srv0982,app007,128,WARN,none,True
srv1607,app010,128,INFO,fixed,True
srv0343,app005,256,ERROR,exponential,False
srv0840,app018,256,INFO,exponential,True
srv0812,app017,64,ERROR,none,True
srv1289,app004,256,DEBUG,none,True
srv1223,app012,128,DEBUG,fixed,False
srv1652,app017,128,DEBUG,exponential,True
srv1813,app010,128,ERROR,exponential,True
srv0645,app015,64,DEBUG,none,True
srv0974,app006,128,WARN,exponential,True
srv1831,app016,64,INFO,fixed,True
srv0370,app002,128,DEBUG,fixed,False
srv0218,app019,256,DEBUG,fixed,True
srv1472,app011,64,ERROR,exponential,True
srv0666,app019,64,WARN,none,True
srv0700,app015,64,ERROR,fixed,True
srv0391,app020,64,ERROR,fixed,True
srv1651,app003,128,WARN,exponential,True
srv1334,app015,64,WARN,none,False
srv0928,app001,64,INFO,fixed,True
srv1369,app016,256,DEBUG,fixed,True
srv1601,app013,64,DEBUG,exponential,True
srv1897,app013,128,WARN,none,False
srv0822,app019,256,WARN,exponential,False
srv0202,app008,128,DEBUG,none,True
srv1912,app006,256,DEBUG,none,False
srv0361,app009,128,ERROR,none,True
srv1655,app006,64,DEBUG,fixed,False
srv1619,app014,64,WARN,exponential,True
srv0940,app019,256,ERROR,none,True
srv0007,app017,256,WARN,none,False
srv1478,app006,256,INFO,fixed,False
srv1107,app017,256,INFO,none,True
