incident_id,timestamp,server_id,app_id,description,root_cause,resolution
inc001,2023-11-01 02:45:00,srv0092,app013,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc002,2023-11-01 02:25:00,srv1893,app007,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc003,2023-11-01 02:45:00,srv1676,app004,Application crash,Null pointer exception,Deployed patch to handle nulls
inc004,2023-11-01 02:55:00,srv0479,app001,Application crash,Null pointer exception,Deployed patch to handle nulls
inc005,2023-11-01 04:00:00,srv0409,app013,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc006,2023-11-01 01:30:00,srv1404,app010,Application crash,Null pointer exception,Deployed patch to handle nulls
inc007,2023-11-01 04:40:00,srv0766,app018,Security breach,Brute-force attack,Blocked IP and reset passwords
inc008,2023-11-01 02:25:00,srv0320,app014,Memory leak,Unreleased file handles,Restarted service to clear memory
inc009,2023-11-01 01:30:00,srv1552,app012,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc010,2023-11-01 02:45:00,srv1492,app018,Memory leak,Unreleased file handles,Restarted service to clear memory
inc011,2023-11-01 04:25:00,srv1747,app015,Application crash,Null pointer exception,Deployed patch to handle nulls
inc012,2023-11-01 03:50:00,srv0176,app017,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc013,2023-11-01 04:05:00,srv0231,app005,Memory leak,Unreleased file handles,Restarted service to clear memory
inc014,2023-11-01 02:10:00,srv1515,app004,Security breach,Brute-force attack,Blocked IP and reset passwords
inc015,2023-11-01 00:05:00,srv0112,app003,Memory leak,Unreleased file handles,Restarted service to clear memory
inc016,2023-11-01 03:05:00,srv0498,app007,Memory leak,Unreleased file handles,Restarted service to clear memory
inc017,2023-11-01 00:25:00,srv1944,app019,Security breach,Brute-force attack,Blocked IP and reset passwords
inc018,2023-11-01 03:40:00,srv1272,app008,Memory leak,Unreleased file handles,Restarted service to clear memory
inc019,2023-11-01 00:25:00,srv1898,app002,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc020,2023-11-01 03:20:00,srv0303,app007,Security breach,Brute-force attack,Blocked IP and reset passwords
inc021,2023-11-01 02:45:00,srv1780,app016,Application crash,Null pointer exception,Deployed patch to handle nulls
inc022,2023-11-01 04:10:00,srv1705,app014,Memory leak,Unreleased file handles,Restarted service to clear memory
inc023,2023-11-01 02:55:00,srv1680,app005,Application crash,Null pointer exception,Deployed patch to handle nulls
inc024,2023-11-01 04:05:00,srv0590,app005,Memory leak,Unreleased file handles,Restarted service to clear memory
inc025,2023-11-01 03:00:00,srv0029,app011,Memory leak,Unreleased file handles,Restarted service to clear memory
inc026,2023-11-01 04:35:00,srv0704,app013,Memory leak,Unreleased file handles,Restarted service to clear memory
inc027,2023-11-01 04:05:00,srv1421,app006,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc028,2023-11-01 01:35:00,srv1648,app012,Security breach,Brute-force attack,Blocked IP and reset passwords
inc029,2023-11-01 01:30:00,srv0228,app003,Memory leak,Unreleased file handles,Restarted service to clear memory
inc030,2023-11-01 04:45:00,srv0625,app014,Memory leak,Unreleased file handles,Restarted service to clear memory
inc031,2023-11-01 00:00:00,srv0922,app017,Security breach,Brute-force attack,Blocked IP and reset passwords
inc032,2023-11-01 02:25:00,srv0965,app003,Application crash,Null pointer exception,Deployed patch to handle nulls
inc033,2023-11-01 02:50:00,srv0047,app015,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc034,2023-11-01 01:15:00,srv0680,app010,Memory leak,Unreleased file handles,Restarted service to clear memory
inc035,2023-11-01 03:30:00,srv0429,app002,Application crash,Null pointer exception,Deployed patch to handle nulls
inc036,2023-11-01 02:10:00,srv1516,app016,Application crash,Null pointer exception,Deployed patch to handle nulls
inc037,2023-11-01 03:10:00,srv1102,app013,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc038,2023-11-01 04:40:00,srv0434,app005,Security breach,Brute-force attack,Blocked IP and reset passwords
inc039,2023-11-01 03:20:00,srv0418,app015,Memory leak,Unreleased file handles,Restarted service to clear memory
inc040,2023-11-01 00:55:00,srv1120,app002,Memory leak,Unreleased file handles,Restarted service to clear memory
inc041,2023-11-01 03:25:00,srv1072,app009,Security breach,Brute-force attack,Blocked IP and reset passwords
inc042,2023-11-01 00:45:00,srv1537,app017,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc043,2023-11-01 01:45:00,srv0530,app010,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc044,2023-11-01 00:30:00,srv1124,app012,Application crash,Null pointer exception,Deployed patch to handle nulls
inc045,2023-11-01 00:50:00,srv0990,app012,Security breach,Brute-force attack,Blocked IP and reset passwords
inc046,2023-11-01 02:25:00,srv1276,app006,Security breach,Brute-force attack,Blocked IP and reset passwords
inc047,2023-11-01 00:25:00,srv1495,app016,Security breach,Brute-force attack,Blocked IP and reset passwords
inc048,2023-11-01 01:55:00,srv0290,app018,Application crash,Null pointer exception,Deployed patch to handle nulls
inc049,2023-11-01 04:00:00,srv1424,app016,Application crash,Null pointer exception,Deployed patch to handle nulls
inc050,2023-11-01 01:30:00,srv1432,app006,Application crash,Null pointer exception,Deployed patch to handle nulls
inc051,2023-11-01 00:35:00,srv1369,app016,Security breach,Brute-force attack,Blocked IP and reset passwords
inc052,2023-11-01 02:45:00,srv0038,app014,Application crash,Null pointer exception,Deployed patch to handle nulls
inc053,2023-11-01 03:40:00,srv0772,app004,Memory leak,Unreleased file handles,Restarted service to clear memory
inc054,2023-11-01 00:30:00,srv1194,app005,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc055,2023-11-01 03:50:00,srv1856,app018,Security breach,Brute-force attack,Blocked IP and reset passwords
inc056,2023-11-01 03:10:00,srv1359,app013,Security breach,Brute-force attack,Blocked IP and reset passwords
inc057,2023-11-01 02:45:00,srv1079,app014,Security breach,Brute-force attack,Blocked IP and reset passwords
inc058,2023-11-01 03:15:00,srv0090,app006,Application crash,Null pointer exception,Deployed patch to handle nulls
inc059,2023-11-01 03:50:00,srv0524,app019,Application crash,Null pointer exception,Deployed patch to handle nulls
inc060,2023-11-01 04:15:00,srv0349,app012,Memory leak,Unreleased file handles,Restarted service to clear memory
inc061,2023-11-01 03:45:00,srv0124,app020,Security breach,Brute-force attack,Blocked IP and reset passwords
inc062,2023-11-01 00:00:00,srv0582,app012,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc063,2023-11-01 02:25:00,srv0412,app020,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc064,2023-11-01 04:15:00,srv1617,app010,Application crash,Null pointer exception,Deployed patch to handle nulls
inc065,2023-11-01 00:10:00,srv1427,app007,Security breach,Brute-force attack,Blocked IP and reset passwords
inc066,2023-11-01 02:55:00,srv1266,app012,Memory leak,Unreleased file handles,Restarted service to clear memory
inc067,2023-11-01 03:20:00,srv0556,app012,Memory leak,Unreleased file handles,Restarted service to clear memory
inc068,2023-11-01 01:20:00,srv0109,app007,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc069,2023-11-01 01:35:00,srv0953,app003,Security breach,Brute-force attack,Blocked IP and reset passwords
inc070,2023-11-01 00:35:00,srv1341,app012,Security breach,Brute-force attack,Blocked IP and reset passwords
inc071,2023-11-01 02:05:00,srv1936,app012,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc072,2023-11-01 01:00:00,srv0018,app004,Security breach,Brute-force attack,Blocked IP and reset passwords
inc073,2023-11-01 04:55:00,srv0137,app002,Application crash,Null pointer exception,Deployed patch to handle nulls
inc074,2023-11-01 04:15:00,srv0796,app006,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc075,2023-11-01 02:30:00,srv1353,app014,Memory leak,Unreleased file handles,Restarted service to clear memory
inc076,2023-11-01 04:45:00,srv1358,app003,Security breach,Brute-force attack,Blocked IP and reset passwords
inc077,2023-11-01 04:10:00,srv1746,app008,Application crash,Null pointer exception,Deployed patch to handle nulls
inc078,2023-11-01 04:25:00,srv1870,app018,Security breach,Brute-force attack,Blocked IP and reset passwords
inc079,2023-11-01 02:55:00,srv1352,app011,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc080,2023-11-01 03:00:00,srv0738,app012,Security breach,Brute-force attack,Blocked IP and reset passwords
inc081,2023-11-01 00:20:00,srv1771,app004,Memory leak,Unreleased file handles,Restarted service to clear memory
inc082,2023-11-01 04:25:00,srv0221,app011,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc083,2023-11-01 02:00:00,srv0040,app003,Memory leak,Unreleased file handles,Restarted service to clear memory
inc084,2023-11-01 00:55:00,srv0600,app016,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc085,2023-11-01 03:45:00,srv1777,app017,Security breach,Brute-force attack,Blocked IP and reset passwords
inc086,2023-11-01 00:10:00,srv1810,app001,Security breach,Brute-force attack,Blocked IP and reset passwords
inc087,2023-11-01 00:25:00,srv1330,app005,Application crash,Null pointer exception,Deployed patch to handle nulls
inc088,2023-11-01 01:55:00,srv0792,app011,Application crash,Null pointer exception,Deployed patch to handle nulls
inc089,2023-11-01 01:05:00,srv0474,app009,Security breach,Brute-force attack,Blocked IP and reset passwords
inc090,2023-11-01 00:35:00,srv0780,app002,Security breach,Brute-force attack,Blocked IP and reset passwords
inc091,2023-11-01 04:05:00,srv1042,app018,Memory leak,Unreleased file handles,Restarted service to clear memory
inc092,2023-11-01 02:20:00,srv1454,app004,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc093,2023-11-01 04:45:00,srv0204,app014,Memory leak,Unreleased file handles,Restarted service to clear memory
inc094,2023-11-01 01:45:00,srv1852,app018,Application crash,Null pointer exception,Deployed patch to handle nulls
inc095,2023-11-01 04:05:00,srv0647,app017,Security breach,Brute-force attack,Blocked IP and reset passwords
inc096,2023-11-01 04:05:00,srv0993,app020,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc097,2023-11-01 01:05:00,srv1776,app019,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc098,2023-11-01 02:00:00,srv1223,app006,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc099,2023-11-01 01:35:00,srv1089,app005,High CPU usage,Infinite loop in data processing module,Restarted app and patched code
inc100,2023-11-01 01:45:00,srv0181,app020,Application crash,Null pointer exception,Deployed patch to handle nulls
