event_id,timestamp,server_id,app_id,event_type,description
event001,2023-11-01 01:00:00,srv0313,app002,SECURITY,Suspicious activity detected
event002,2023-11-01 02:35:00,srv0231,app020,SECURITY,Suspicious activity detected
event003,2023-11-01 02:55:00,srv1490,app004,COMPLIANCE,Missing critical security patch
event004,2023-11-01 00:45:00,srv0684,app020,COMPLIANCE,Unencrypted data transfer detected
event005,2023-11-01 03:25:00,srv0054,app004,COMPLIANCE,Missing critical security patch
event006,2023-11-01 04:50:00,srv1863,app009,SECURITY,Multiple failed login attempts
event007,2023-11-01 02:35:00,srv0290,app018,SECURITY,Unusual outbound traffic
event008,2023-11-01 03:00:00,srv0424,app012,COMPLIANCE,Unencrypted data transfer detected
event009,2023-11-01 01:55:00,srv0228,app003,SECURITY,Suspicious activity detected
event010,2023-11-01 00:45:00,srv0181,app020,COMPLIANCE,Missing critical security patch
event011,2023-11-01 00:50:00,srv1794,app006,SECURITY,Suspicious activity detected
event012,2023-11-01 03:20:00,srv1375,app009,COMPLIANCE,Unencrypted data transfer detected
event013,2023-11-01 02:45:00,srv1004,app010,SECURITY,Unusual outbound traffic
event014,2023-11-01 00:55:00,srv0805,app004,SECURITY,Unusual outbound traffic
event015,2023-11-01 04:35:00,srv0382,app019,COMPLIANCE,Unencrypted data transfer detected
event016,2023-11-01 03:35:00,srv0176,app011,COMPLIANCE,Unencrypted data transfer detected
event017,2023-11-01 00:00:00,srv0530,app010,SECURITY,Unusual outbound traffic
event018,2023-11-01 04:05:00,srv1956,app001,COMPLIANCE,Unencrypted data transfer detected
event019,2023-11-01 00:30:00,srv0990,app012,SECURITY,Multiple failed login attempts
event020,2023-11-01 04:10:00,srv0031,app011,SECURITY,Suspicious activity detected
event021,2023-11-01 00:35:00,srv0378,app015,SECURITY,Multiple failed login attempts
event022,2023-11-01 01:35:00,srv0377,app005,COMPLIANCE,Unencrypted data transfer detected
event023,2023-11-01 00:55:00,srv1240,app016,COMPLIANCE,Missing critical security patch
event024,2023-11-01 00:40:00,srv1985,app003,SECURITY,Unusual outbound traffic
event025,2023-11-01 00:40:00,srv0881,app015,SECURITY,Multiple failed login attempts
event026,2023-11-01 03:40:00,srv1802,app018,SECURITY,Multiple failed login attempts
event027,2023-11-01 04:00:00,srv1358,app003,COMPLIANCE,Missing critical security patch
event028,2023-11-01 00:10:00,srv1832,app002,SECURITY,Suspicious activity detected
event029,2023-11-01 00:10:00,srv1344,app005,SECURITY,Suspicious activity detected
event030,2023-11-01 04:10:00,srv1092,app003,SECURITY,Unusual outbound traffic
event031,2023-11-01 04:45:00,srv1911,app010,SECURITY,Multiple failed login attempts
event032,2023-11-01 00:25:00,srv0766,app018,SECURITY,Unusual outbound traffic
event033,2023-11-01 01:50:00,srv0180,app008,SECURITY,Unusual outbound traffic
event034,2023-11-01 03:00:00,srv0283,app019,SECURITY,Multiple failed login attempts
event035,2023-11-01 03:45:00,srv1445,app004,SECURITY,Suspicious activity detected
event036,2023-11-01 03:50:00,srv1689,app014,SECURITY,Multiple failed login attempts
event037,2023-11-01 03:40:00,srv1889,app002,SECURITY,Suspicious activity detected
event038,2023-11-01 04:25:00,srv0379,app009,COMPLIANCE,Unencrypted data transfer detected
event039,2023-11-01 02:40:00,srv0843,app007,SECURITY,Suspicious activity detected
event040,2023-11-01 00:35:00,srv0219,app005,COMPLIANCE,Missing critical security patch
event041,2023-11-01 04:00:00,srv1067,app009,COMPLIANCE,Unencrypted data transfer detected
event042,2023-11-01 00:25:00,srv0600,app016,COMPLIANCE,Missing critical security patch
event043,2023-11-01 01:30:00,srv1683,app006,COMPLIANCE,Unencrypted data transfer detected
event044,2023-11-01 04:25:00,srv0018,app003,COMPLIANCE,Unencrypted data transfer detected
event045,2023-11-01 04:30:00,srv0796,app006,COMPLIANCE,Missing critical security patch
event046,2023-11-01 03:35:00,srv1460,app001,COMPLIANCE,Missing critical security patch
event047,2023-11-01 02:35:00,srv0493,app014,SECURITY,Suspicious activity detected
event048,2023-11-01 00:35:00,srv0977,app013,SECURITY,Suspicious activity detected
event049,2023-11-01 03:55:00,srv1521,app011,SECURITY,Multiple failed login attempts
event050,2023-11-01 01:45:00,srv1109,app007,SECURITY,Unusual outbound traffic
event051,2023-11-01 01:10:00,srv0680,app005,COMPLIANCE,Unencrypted data transfer detected
event052,2023-11-01 04:00:00,srv1879,app005,COMPLIANCE,Unencrypted data transfer detected
event053,2023-11-01 02:30:00,srv1276,app003,COMPLIANCE,Unencrypted data transfer detected
event054,2023-11-01 04:05:00,srv0479,app001,COMPLIANCE,Missing critical security patch
event055,2023-11-01 02:35:00,srv1993,app009,COMPLIANCE,Missing critical security patch
event056,2023-11-01 00:30:00,srv0311,app017,SECURITY,Multiple failed login attempts
event057,2023-11-01 00:05:00,srv0780,app014,SECURITY,Suspicious activity detected
event058,2023-11-01 01:35:00,srv0086,app008,SECURITY,Multiple failed login attempts
event059,2023-11-01 01:00:00,srv1222,app013,COMPLIANCE,Unencrypted data transfer detected
event060,2023-11-01 02:40:00,srv0808,app015,COMPLIANCE,Unencrypted data transfer detected
